Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Oplatkova, Z.K., Senkerik, R., Viktorin, A.","15043128400;23975048900;57189030395;","Differential Evolution and Analytic Programming in the case of Trigonometric Identities Discovery",2018,"International Conference on Systems, Signals, and Image Processing","2018-June",,"8439705","","",,,"10.1109/IWSSIP.2018.8439705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053146930&doi=10.1109%2fIWSSIP.2018.8439705&partnerID=40&md5=145cf3206002c78f288a037ed8d414e4",Conference Paper,"Final","",Scopus,2-s2.0-85053146930
"Sysala, T., Stuchlik, K., Neumann, P.","56069459000;57204417732;57206504261;","An alternative to the band saw wheel wear measurement",2018,"WSEAS Transactions on Systems and Control","13",,,"473","480",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061294230&partnerID=40&md5=f5d38d808bb64f5c9d81b06328e6a431",Article,"Final","",Scopus,2-s2.0-85061294230
