Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Senkerik, R., Viktorin, A., Pluhacek, M., Janostik, J., Davendra, D.","23975048900;57189030395;55445026800;56695144100;55881468800;","On the influence of different randomization and complex network analysis for differential evolution",2016,"2016 IEEE Congress on Evolutionary Computation, CEC 2016",,,"7744213","3346","3353",,11,"10.1109/CEC.2016.7744213","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008249074&doi=10.1109%2fCEC.2016.7744213&partnerID=40&md5=3a2c63a52c82470dd4e10b51c94b8a81",Conference Paper,"Final","",Scopus,2-s2.0-85008249074
"Sysala, T., Pospichal, M., Neumann, P.","56069459000;57224338747;57206504261;","Monitoring and control system for a smart family house controlled via programmable controller",2016,"Proceedings of the 2016 17th International Carpathian Control Conference, ICCC 2016",,,"7501187","706","710",,3,"10.1109/CarpathianCC.2016.7501187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979555087&doi=10.1109%2fCarpathianCC.2016.7501187&partnerID=40&md5=2331395e56f3845f9892624d561f3c4e",Conference Paper,"Final","",Scopus,2-s2.0-84979555087
"Senkerik, R., Pluhacek, M., Viktorin, A., Oplatkova, Z.K.","23975048900;55445026800;57189030395;15043128400;","On the simulation of complex chaotic dynamics for chaos based optimization",2016,"Proceedings - 30th European Conference on Modelling and Simulation, ECMS 2016",,,,"258","264",,1,"10.7148/2016-0258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84978708855&doi=10.7148%2f2016-0258&partnerID=40&md5=5c7b89e6cb21a1c14338ba30cfb89b5f",Conference Paper,"Final","",Scopus,2-s2.0-84978708855
