Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Zacek, P., Jasek, R., Malanik, D.","56820003800;9737162700;54416150000;","Group of the polymorphous modes of operation - PM",2017,"FTC 2016 - Proceedings of Future Technologies Conference",,,"7821772","1314","1315",,,"10.1109/FTC.2016.7821772","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013660751&doi=10.1109%2fFTC.2016.7821772&partnerID=40&md5=a2bac7fd4eb6da65d467ca1771b94ce6",Conference Paper,"Final","",Scopus,2-s2.0-85013660751
"Ali, A.A., Jasek, R., Krayem, S., Zacek, P.","57194092370;9737162700;57193330774;56820003800;","Proving the effectiveness of negotiation protocols KQML in multi-agent systems using event-B",2017,"Advances in Intelligent Systems and Computing","574",,,"397","406",,4,"10.1007/978-3-319-57264-2_40","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018720797&doi=10.1007%2f978-3-319-57264-2_40&partnerID=40&md5=9ef682466502801b4dbb2c4b5233fe62",Conference Paper,"Final","",Scopus,2-s2.0-85018720797
"Jasek, R., Krayem, S., Zacek, P.","9737162700;57193330774;56820003800;","Big data process advancement",2017,"Advances in Intelligent Systems and Computing","574",,,"379","396",,1,"10.1007/978-3-319-57264-2_39","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018673810&doi=10.1007%2f978-3-319-57264-2_39&partnerID=40&md5=9f9099363dc0f6e3e89284467c14d169",Conference Paper,"Final","",Scopus,2-s2.0-85018673810
