Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Pálka, L., Schauer, F.","56134062100;35581870700;","Safety of communication and authentication in data warehouse for remote laboratories and laboratory management system",2015,"10th International Conference on Computer Science and Education, ICCSE 2015",,,"7250349","773","779",,,"10.1109/ICCSE.2015.7250349","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957927945&doi=10.1109%2fICCSE.2015.7250349&partnerID=40&md5=6946920784af4746ab364ee17d983223",Conference Paper,"Final","",Scopus,2-s2.0-84957927945
"Hanacek, A., Sysel, M.","56906975600;56069539300;","The methods of testing and possibility to overcome the protection against sabotage of analog intrusion alarm systems",2015,"Advances in Intelligent Systems and Computing","348",,,"119","128",,8,"10.1007/978-3-319-18503-3_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84944447624&doi=10.1007%2f978-3-319-18503-3_12&partnerID=40&md5=8909d99f5f7ad0a0c4b6da71873df651",Conference Paper,"Final","",Scopus,2-s2.0-84944447624
"Špaček, F., Sohlich, R., Dulík, T.","56560054400;56560063800;25960789900;","Docker as platform for assignments evaluation",2015,"Procedia Engineering","100","January",,"1665","1671",,6,"10.1016/j.proeng.2015.01.541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937036146&doi=10.1016%2fj.proeng.2015.01.541&partnerID=40&md5=7cba5112d01cd6934239f87e225bf4fa",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84937036146
"Špaček, F., Sohlich, R., Dulík, T.","56560054400;56560063800;25960789900;","Docker as platform for assignments evaluation",2015,"Energy Procedia","100","C",,"1665","1671",,4,"10.1016/j.proeng.2015.01.541","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925059239&doi=10.1016%2fj.proeng.2015.01.541&partnerID=40&md5=988f3739483c87118d3bc6fba19cef02",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84925059239
