Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Janku, P., Pospisilik, M., Dulik, T.","57191158960;42262703900;25960789900;","Construction of compact step down voltage converter in terms of EMC",2016,"MATEC Web of Conferences","76",,"01010","","",,1,"10.1051/matecconf/20167601010","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016133095&doi=10.1051%2fmatecconf%2f20167601010&partnerID=40&md5=8d4a3e3f899f9baf9cc4bbf082f6740d",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85016133095
"Palka, L., Schauer, F., Dostal, P.","56134062100;35581870700;23501156300;","Modelling of the simple pendulum Experiment",2016,"MATEC Web of Conferences","76",,"04037","","",,2,"10.1051/matecconf/20167604037","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016096434&doi=10.1051%2fmatecconf%2f20167604037&partnerID=40&md5=9a5cd1496cdc1ec3444307ee78f4c39a",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85016096434
"Kral, E., Capek, P.","39861704700;53979476800;","Towards using continuous integration tools to teach programming courses",2016,"Proceedings - 2015 International Conference on Computational Science and Computational Intelligence, CSCI 2015",,,"7424225","871","872",,4,"10.1109/CSCI.2015.78","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964427009&doi=10.1109%2fCSCI.2015.78&partnerID=40&md5=e37c0d9c211ad364d4a7538ed204ee56",Conference Paper,"Final","",Scopus,2-s2.0-84964427009
"Pálka, L., Schauer, F.","56134062100;35581870700;","Safety of communication and neural networks for security enhancement in data warehouse for remote laboratories and Laboratory Management System",2016,"6th International Conference on Computing, Communications and Networking Technologies, ICCCNT 2015",,,"7395191","","",,2,"10.1109/ICCCNT.2015.7395191","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964497593&doi=10.1109%2fICCCNT.2015.7395191&partnerID=40&md5=cf1401ffcb9611866dd88118f44f8107",Conference Paper,"Final","",Scopus,2-s2.0-84964497593
"Janku, P., Pospisilik, M., Dulik, T.","57191158960;42262703900;25960789900;","Compact step down voltage converter constructed in terms of EMC",2016,"Annals of DAAAM and Proceedings of the International DAAAM Symposium","27","1",,"514","523",,1,"10.2507/27th.daaam.proceedings.077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85010767234&doi=10.2507%2f27th.daaam.proceedings.077&partnerID=40&md5=649d82d06cf520960d728f124576fa7b",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85010767234
"Pospisilik, M., Adamek, M., Silva, R.M.S.","42262703900;55798748600;57205450013;","Different constructions of step down voltage converters in terms of EMC",2016,"International Journal of Circuits, Systems and Signal Processing","10",,,"190","199",,3,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977568971&partnerID=40&md5=2d37f88f743090d08e783ca84d65b660",Article,"Final","",Scopus,2-s2.0-84977568971
