Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Pluhacek, M., Senkerik, R., Davendra, D.","55445026800;23975048900;55881468800;","Chaos particle swarm optimization with Eensemble of chaotic systems",2015,"Swarm and Evolutionary Computation","25",,,"29","35",,41,"10.1016/j.swevo.2015.10.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84952631438&doi=10.1016%2fj.swevo.2015.10.008&partnerID=40&md5=2007f61cb98db210375af79277cbe988",Article,"Final","",Scopus,2-s2.0-84952631438
"Urbanek, T., Prokopova, Z., Silhavy, R., Vesela, V.","56531645100;6507962555;42962236200;57004691700;","Prediction accuracy measurements as a fitness function for software effort estimation",2015,"SpringerPlus","4","1","778","1","17",,12,"10.1186/s40064-015-1555-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949993577&doi=10.1186%2fs40064-015-1555-9&partnerID=40&md5=282c56f7b556962264bb78ff42942e43",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84949993577
"Pluhacek, M., Senkerik, R., Davendra, D.","55445026800;23975048900;55881468800;","Multiple Choice strategy with Dimensional mutation for PSO algorithm enhanced with chaotic Dissipative Standard Map",2015,"2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings",,,"7257052","1404","1409",,2,"10.1109/CEC.2015.7257052","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963622325&doi=10.1109%2fCEC.2015.7257052&partnerID=40&md5=c0c416201517545dceff9386974162ee",Conference Paper,"Final","",Scopus,2-s2.0-84963622325
"Senkerik, R., Pluhacek, M., Kominkova Oplatkova, Z., Davendra, D.","23975048900;55445026800;15043128400;55881468800;","On the parameter settings for the chaotic dynamics embedded differential evolution",2015,"2015 IEEE Congress on Evolutionary Computation, CEC 2015 - Proceedings",,,"7257053","1410","1417",,12,"10.1109/CEC.2015.7257053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963621161&doi=10.1109%2fCEC.2015.7257053&partnerID=40&md5=c1c8a5c91d8622161239f10439e9b76d",Conference Paper,"Final","",Scopus,2-s2.0-84963621161
"Pluhacek, M., Senkerik, R., Zelinka, I.","55445026800;23975048900;15043309500;","Performance of Multi-chaotic PSO on a shifted benchmark functions set",2015,"AIP Conference Proceedings","1648",,"550023","","",,,"10.1063/1.4912778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939650054&doi=10.1063%2f1.4912778&partnerID=40&md5=784ee7001dd5f923b392da86904982c6",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84939650054
"Pluhacek, M., Senkerik, R., Zelinka, I.","55445026800;23975048900;15043309500;","PSO algorithm enhanced with Lozi Chaotic Map - Tuning experiment",2015,"AIP Conference Proceedings","1648",,"550022","","",,3,"10.1063/1.4912777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84939649905&doi=10.1063%2f1.4912777&partnerID=40&md5=0617e8830356f1ca8b985887b0f365d9",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84939649905
"Davendra, D., Zelinka, I., Metlicka, M., Senkerik, R., Pluhacek, M.","55881468800;15043309500;56404591600;23975048900;55445026800;","Complex network analysis of differential evolution algorithm applied to flowshop with no-wait problem",2015,"IEEE SSCI 2014 - 2014 IEEE Symposium Series on Computational Intelligence - SDE 2014: 2014 IEEE Symposium on Differential Evolution, Proceedings",,,"7031536","","",,35,"10.1109/SDE.2014.7031536","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930464470&doi=10.1109%2fSDE.2014.7031536&partnerID=40&md5=9b8d179a3e9cedbc0fa9eb65053a337c",Conference Paper,"Final","",Scopus,2-s2.0-84930464470
"Pluhacek, M., Senkerik, R., Zelinka, I., Davendra, D.","55445026800;23975048900;15043309500;55881468800;","Designing PID controllers by means of PSO algorithm enhanced by various chaotic maps",2015,"Proceedings - 8th EUROSIM Congress on Modelling and Simulation, EUROSIM 2013",,,"7004911","19","23",,5,"10.1109/EUROSIM.2013.14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929590181&doi=10.1109%2fEUROSIM.2013.14&partnerID=40&md5=283c5088f07379ff9bc622585a298208",Conference Paper,"Final","",Scopus,2-s2.0-84929590181
"Vařacha, P.","24802510800;","Adaptive strategy for neural network synthesis constant estimation",2015,"Annals of DAAAM and Proceedings of the International DAAAM Symposium","2015-January",,,"358","364",,,"10.2507/26th.daaam.proceedings.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987677267&doi=10.2507%2f26th.daaam.proceedings.048&partnerID=40&md5=ae8f1f757d739a81593fb06b463345dd",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84987677267
"Macku, L., Sámek, D.","25031593000;24822082800;","Self-organizing migrating algorithm in model predictive control: Case study on semi-batch chemical reactor",2015,"Annals of DAAAM and Proceedings of the International DAAAM Symposium","2015-January",,,"238","246",,1,"10.2507/26th.daaam.proceedings.033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987624677&doi=10.2507%2f26th.daaam.proceedings.033&partnerID=40&md5=0a6ef511752f125525f0cc2df88266e1",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-84987624677
