Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Ali, A.A., Varacha, P., Krayem, S., Jasek, R., Zacek, P., Chramcov, B.","57194092370;24802510800;57193330774;9737162700;56820003800;36631924500;","Modeling of distributed file System in big data storage by event-B",2018,"MATEC Web of Conferences","210",,"04042","","",,1,"10.1051/matecconf/201821004042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055520984&doi=10.1051%2fmatecconf%2f201821004042&partnerID=40&md5=fc06d2fa8902e6aaf51aa09bdf9317e4",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85055520984
"Oplatkova, Z.K., Senkerik, R., Viktorin, A.","15043128400;23975048900;57189030395;","Differential Evolution and Analytic Programming in the case of Trigonometric Identities Discovery",2018,"International Conference on Systems, Signals, and Image Processing","2018-June",,"8439705","","",,,"10.1109/IWSSIP.2018.8439705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053146930&doi=10.1109%2fIWSSIP.2018.8439705&partnerID=40&md5=145cf3206002c78f288a037ed8d414e4",Conference Paper,"Final","",Scopus,2-s2.0-85053146930
"Kralik, L., Malanik, D., Matysek, M.","56725614000;54416150000;8707476200;","Cyber Security Resilience Based on Static Factors as a Part of Converged Security",2018,"Proceedings - 2018 5th International Conference on Mathematics and Computers in Sciences and Industry, MCSI 2018",,,"8769763","114","117",,2,"10.1109/MCSI.2018.00035","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070388381&doi=10.1109%2fMCSI.2018.00035&partnerID=40&md5=f16cc0370e492a2810cacd55397d5cb0",Conference Paper,"Final","",Scopus,2-s2.0-85070388381
"Lapkova, D., Kotek, L., Valouch, J., Kralik, L.","55799011000;57205453973;55495964100;56725614000;","Using MCDM for Soft Target's Identification",2018,"Proceedings - 2018 5th International Conference on Mathematics and Computers in Sciences and Industry, MCSI 2018",,,"8769802","63","67",,2,"10.1109/MCSI.2018.00022","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070380892&doi=10.1109%2fMCSI.2018.00022&partnerID=40&md5=63a92c5281218a1eb07190a8c8143431",Conference Paper,"Final","",Scopus,2-s2.0-85070380892
"Volná, E., Kotyrba, M., Oplatková, Z.K., Senkerik, R.","55925898100;54787895300;15043128400;23975048900;","Elliott waves classification by means of neural and pseudo neural networks",2018,"Soft Computing","22","6",,"1803","1813",,5,"10.1007/s00500-016-2097-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960157449&doi=10.1007%2fs00500-016-2097-y&partnerID=40&md5=e85437100fdc3fc2fbbc4efeb4bb7486",Article,"Final","",Scopus,2-s2.0-84960157449
"Sysala, T., Stuchlik, K., Neumann, P.","56069459000;57204417732;57206504261;","An alternative to the band saw wheel wear measurement",2018,"WSEAS Transactions on Systems and Control","13",,,"473","480",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061294230&partnerID=40&md5=f5d38d808bb64f5c9d81b06328e6a431",Article,"Final","",Scopus,2-s2.0-85061294230
"Lapkova, D., Kotek, L., Kralik, L.","55799011000;57205453973;56725614000;","Soft targets – Possibilities of their identification",2018,"Annals of DAAAM and Proceedings of the International DAAAM Symposium","29","1",,"0369","0377",,10,"10.2507/29th.daaam.proceedings.053","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060087465&doi=10.2507%2f29th.daaam.proceedings.053&partnerID=40&md5=535b3d7c72e25a35d7a84318ab0539d6",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85060087465
"Kralik, L., Jasek, R., Zacek, P.","56725614000;9737162700;56820003800;","Influence of user’s criteria preferences for open source ITIL tools evaluation by simple MCDM",2018,"Studies in Computational Intelligence","718",,,"141","151",,,"10.1007/978-3-319-58965-7_10","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026297134&doi=10.1007%2f978-3-319-58965-7_10&partnerID=40&md5=c55f3622454b3ecdf986403903d31445",Article,"Final","",Scopus,2-s2.0-85026297134
