Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Molnár, V., Průša, P., Strohmandl, J., Legát, M.","35520084100;55822151600;56367692900;57197756238;","Analysis of workplaces supply in a production company",2017,"MATEC Web of Conferences","134",,"00040","","",,,"10.1051/matecconf/201713400040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034600962&doi=10.1051%2fmatecconf%2f201713400040&partnerID=40&md5=76fc126fe2e9840822f10588fc91758e",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85034600962
"Vařacha, P.","24802510800;","Adaptive Control of Neural Network Synthesis",2017,"MATEC Web of Conferences","125",,"02061","","",,,"10.1051/matecconf/201712502061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032872990&doi=10.1051%2fmatecconf%2f201712502061&partnerID=40&md5=253dcfc9952e6801f10dcc4cb23da145",Conference Paper,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85032872990
"Navratil, P., Pekar, L., Klapka, J.","57203081406;25031888600;7801479632;","Load distribution of heat source in production of heat and electricity",2017,"International Energy Journal","17","3",,"99","111",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030226623&partnerID=40&md5=d08fff7e4c7d2a5cf27d84b8cd03d2f0",Article,"Final","",Scopus,2-s2.0-85030226623
"Kozak, V.","57212482451;","Increasing competitiveness of a microbrewery: A case study of the U Fleků Brewery, Prague",2017,"Economic Annals-XXI","164","3-4",,"90","93",,2,"10.21003/ea.V164-20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85022342483&doi=10.21003%2fea.V164-20&partnerID=40&md5=7ddff385e823feef8e8de6c64577b984",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-85022342483
"Senkerik, R., Zelinka, I., Pluhacek, M., Viktorin, A.","23975048900;15043309500;55445026800;57189030395;","Comparison of swarm and evolutionary based algorithms for the stabilization of chaotic oscillations",2017,"Lecture Notes in Electrical Engineering","415 LNEE",,,"63","73",,,"10.1007/978-3-319-50904-4_7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009448112&doi=10.1007%2f978-3-319-50904-4_7&partnerID=40&md5=c40b15e17c87bc06e347d3e8144daa47",Conference Paper,"Final","",Scopus,2-s2.0-85009448112
