Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Vařacha, P.","24802510800;","Adaptive strategy for neural network synthesis constant estimation",2015,"Annals of DAAAM and Proceedings of the International DAAAM Symposium","2015-January",,,"358","364",,,"10.2507/26th.daaam.proceedings.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84987677267&doi=10.2507%2f26th.daaam.proceedings.048&partnerID=40&md5=ae8f1f757d739a81593fb06b463345dd",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84987677267
"Chramcov, B., Šošolík, P., Bucki, R.","36631924500;57170825700;53979314600;","Improvement of the warehouse operation in the furniture company on the basis of the simulation study",2015,"14th International Conference on Modeling and Applied Simulation, MAS 2015",,,,"155","161",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84960910484&partnerID=40&md5=b09c77ec704e200e2e38ce502665a620",Conference Paper,"Final","",Scopus,2-s2.0-84960910484
"Navratil, P., Pekar, L., Klapka, J.","57203081406;25031888600;7801479632;","Possible way of control of heat output in hotwater piping system of district heating",2015,"International Journal of Circuits, Systems and Signal Processing","9",,,"353","361",,2,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947077825&partnerID=40&md5=ebccc4778955e6748f7aaa449360374c",Article,"Final","",Scopus,2-s2.0-84947077825
"Kolek, J., Jasek, R.","55551595700;9737162700;","A time performance evaluation of the SOMA asynchronous parallel distribution in Java and C#",2015,"Procedia Engineering","100","January",,"1672","1677",,,"10.1016/j.proeng.2015.01.542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937026318&doi=10.1016%2fj.proeng.2015.01.542&partnerID=40&md5=ad535c050e336f4df52335367f226597",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84937026318
"Bucki, R., Chramcov, B., Suchánek, P.","53979314600;36631924500;57196543233;","Heuristic algorithms for manufacturing and replacement strategies of the production system",2015,"Journal of Universal Computer Science","21","4",,"503","525",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930147727&partnerID=40&md5=dfcbab19f2c9cd9930fecf566d1e33c1",Article,"Final","",Scopus,2-s2.0-84930147727
"Král, E., Čápek, P.","39861704700;53979476800;","A comparison of the performance of a mathematic expression parser in heat load modelling",2015,"International Journal of Mathematics and Computers in Simulation","9",,,"9","13",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84926451829&partnerID=40&md5=9dcc0baca7e9b7e7b6fdff24c487b8e1",Article,"Final","",Scopus,2-s2.0-84926451829
"Kolek, J., Jasek, R.","55551595700;9737162700;","A time performance evaluation o. The SOMA asynchronous parallel distribution in Java and C#",2015,"Energy Procedia","100","C",,"1672","1677",,,"10.1016/j.proeng.2015.01.542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925071013&doi=10.1016%2fj.proeng.2015.01.542&partnerID=40&md5=dafbf8a18cb1c7d34dd4a2aa5d4aa079",Conference Paper,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84925071013
