Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Kozak, V., Barinka, K.","57212482451;57192836252;","The measurement of product placement",2016,"Economic Annals-XXI","161","9-10",,"66","70",,1,"10.21003/ea.V161-15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008334897&doi=10.21003%2fea.V161-15&partnerID=40&md5=fa98842503919e2575921ffa7ae61255",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-85008334897
"Senkerik, R., Zelinka, I., Pluhacek, M.","23975048900;15043309500;55445026800;","Chaos enhanced differential evolution in the task of evolutionary control of discrete chaotic Lozi map",2016,"Advances in Electrical and Electronic Engineering","14","3",,"304","317",,2,"10.15598/aeee.v14i3.1166","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84988929276&doi=10.15598%2faeee.v14i3.1166&partnerID=40&md5=a6d1db08dcd3257af5bc0d081880c689",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84988929276
"Jašek, R., Sedláček, M., Chramcov, B., Dvořák, J.","9737162700;56950329800;36631924500;57213450689;","Application of simulation models for the optimization of business processes",2016,"AIP Conference Proceedings","1738",,"120028","","",,1,"10.1063/1.4951911","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984591133&doi=10.1063%2f1.4951911&partnerID=40&md5=460ad75016988b4ff451a2bb8bff20f8",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84984591133
"Kralik, L., Jasek, R., Senkerik, R.","56725614000;9737162700;23975048900;","Multi-criterial evaluation - General overview",2016,"AIP Conference Proceedings","1738",,"120023","","",,,"10.1063/1.4951906","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984577338&doi=10.1063%2f1.4951906&partnerID=40&md5=262c8afb378e20146fd6f087b617ec5b",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84984577338
"Senkerik, R., Pluhacek, M., Zelinka, I., Viktorin, A.","23975048900;55445026800;15043309500;57189030395;","Comparison of PSO and de in the task of optimal control of chaotic Lozi map",2016,"28th European Modeling and Simulation Symposium, EMSS 2016",,,,"303","308",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85002487017&partnerID=40&md5=a8664f244319a97413e0e8287f669483",Conference Paper,"Final","",Scopus,2-s2.0-85002487017
