Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Sysala, T., Pospichal, M., Neumann, P.","56069459000;57224338747;57206504261;","Monitoring and control system for a smart family house controlled via programmable controller",2016,"Proceedings of the 2016 17th International Carpathian Control Conference, ICCC 2016",,,"7501187","706","710",,3,"10.1109/CarpathianCC.2016.7501187","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84979555087&doi=10.1109%2fCarpathianCC.2016.7501187&partnerID=40&md5=2331395e56f3845f9892624d561f3c4e",Conference Paper,"Final","",Scopus,2-s2.0-84979555087
"Zacek, P., Jasek, R., Malanik, D.","56820003800;9737162700;54416150000;","Possibilities and testing of CPRNG in block cipher mode of operation PM-DC-LM",2016,"AIP Conference Proceedings","1738",,"120029","","",,1,"10.1063/1.4951912","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84984539820&doi=10.1063%2f1.4951912&partnerID=40&md5=7ca0968d2856578dbc74cb68336144e8",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-84984539820
