Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Lapkova, D., Kotek, L., Rozek, D.","55799011000;57205453973;57216786706;","Counter-terrorism Measures - Determining of Soft Target's Vulnerability",2019,"Proceedings of the 2019 IEEE 6th Asian Conference on Defence Technology, ACDT 2019",,,"9072861","79","84",,1,"10.1109/ACDT47198.2019.9072861","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084681244&doi=10.1109%2fACDT47198.2019.9072861&partnerID=40&md5=6930fbc721b39c3e0bf1123b7936f85a",Conference Paper,"Final","",Scopus,2-s2.0-85084681244
"Lapkova, D., Kotek, L., Rozek, D.","55799011000;57205453973;57216786706;","Terrorism Situation and Identification of Soft Target's Attractiveness",2019,"Proceedings of the 2019 IEEE 6th Asian Conference on Defence Technology, ACDT 2019",,,"9072875","65","70",,1,"10.1109/ACDT47198.2019.9072875","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084671448&doi=10.1109%2fACDT47198.2019.9072875&partnerID=40&md5=015abfede7ef66d0d2aaa4727afb97fb",Conference Paper,"Final","",Scopus,2-s2.0-85084671448
